DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,patrimonio_total,qtd_bens,tipo_principal
DEPUTADO ESTADUAL,40002542957,22190,CAPITÃO CARPÊ,PL,MASCULINO,SUPERIOR COMPLETO,VEREADOR,451600.0,2.0,Apartamento
DEPUTADO FEDERAL,40002531441,1555,SAULLO VIANNA,MDB,MASCULINO,SUPERIOR COMPLETO,DEPUTADO,444971.36,7.0,Consórcio não contemplado
VICE-GOVERNADOR,40002541627,22,CORONEL ANIBAL,PL,MASCULINO,SUPERIOR COMPLETO,BOMBEIRO MILITAR,436929.13,6.0,Outras aplicações e Investimentos
DEPUTADO FEDERAL,40002545598,1333,EDJANE DA FETAGRI,PT,FEMININO,SUPERIOR COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),435100.0,4.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002545600,1363,LUIS CARLOS VELHO,PT,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,425000.0,3.0,Casa
DEPUTADO ESTADUAL,40002532743,15999,PROFESSOR VAL,MDB,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,416500.0,7.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002541628,36190,CAPITÃO DILSON CASTRO,AGIR,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,401561.82,4.0,Apartamento
DEPUTADO FEDERAL,40002542676,4444,JOANA DARC,UNIÃO,FEMININO,SUPERIOR COMPLETO,DEPUTADO,399428.82999999996,2.0,Apartamento
DEPUTADO ESTADUAL,40002542680,40633,LUCIANO VIEIRA,PSB,MASCULINO,ENSINO MÉDIO INCOMPLETO,MOTORISTA PARTICULAR,384000.0,9.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002542955,22662,WILLACE SOUZA,PL,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,380810.02,8.0,Outros créditos e poupança vinculados
DEPUTADO ESTADUAL,40002537350,70170,PAI AMADO,AVANTE,MASCULINO,ENSINO MÉDIO COMPLETO,VEREADOR,380000.0,3.0,Terreno
DEPUTADO FEDERAL,40002542675,4433,SAIMON BESSA,UNIÃO,MASCULINO,SUPERIOR COMPLETO,VEREADOR,378419.99,5.0,Depósito bancário em conta corrente no País
DEPUTADO FEDERAL,40002545599,1313,DENIS DA SILVA,PT,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,378000.0,2.0,Casa
DEPUTADO ESTADUAL,40002532778,55000,EMANOEL PINHEIRO,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,373000.74,6.0,Outras aplicações e Investimentos
DEPUTADO ESTADUAL,40002534391,10888,CEL. AMADEU,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,358000.0,4.0,Terreno
DEPUTADO FEDERAL,40002536449,3011,DIANA RODRIGUES,NOVO,FEMININO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,350000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002541586,2044,SARGENTO AUGUSTO,PODE,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,350000.0,1.0,Casa
DEPUTADO ESTADUAL,40002542958,22092,FRANK PARENTE,PL,MASCULINO,ENSINO MÉDIO COMPLETO,COMERCIANTE,342867.0,7.0,Casa
DEPUTADO FEDERAL,40002542678,4455,DR. MIGUEL CARRATTE,UNIÃO,MASCULINO,SUPERIOR COMPLETO,MÉDICO,340785.66,8.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002542964,22244,FRANK CABEÇA,PL,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,337807.74,6.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002532782,55125,MAYRA DIAS,PSD,FEMININO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,336160.29,5.0,Apartamento
DEPUTADO FEDERAL,40002536079,2700,FRANK CARLOS,DC,MASCULINO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",320000.0,1.0,Apartamento
DEPUTADO FEDERAL,40002551009,1818,MARCOS APURINÃ,REDE,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,320000.0,2.0,Outros bens imóveis
DEPUTADO FEDERAL,40002531438,1513,VANDA WITOTO,MDB,FEMININO,SUPERIOR COMPLETO,PEDAGOGO,310000.0,3.0,Casa
DEPUTADO ESTADUAL,40002545609,65656,ERON BEZERRA,PCDOB,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,309873.35,9.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002536484,36789,RODRIGO MELO,AGIR,MASCULINO,SUPERIOR COMPLETO,ADMINISTRADOR,302874.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002532755,15654,SOCORRO DO CAFÉ,MDB,FEMININO,ENSINO MÉDIO COMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,300000.0,1.0,Casa
DEPUTADO ESTADUAL,40002532756,15050,NEURIANE MUNDURUKU,MDB,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,300000.0,2.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002537622,70258,RADYR OLIVEIRA,AVANTE,MASCULINO,ENSINO MÉDIO COMPLETO,SERVIDOR PÚBLICO FEDERAL,300000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002537349,70070,DANIEL ALMEIDA,AVANTE,MASCULINO,ENSINO MÉDIO COMPLETO,DEPUTADO,300000.0,1.0,Casa
SENADOR,40002551283,181,ISMAEL MUNDURUKU,REDE,MASCULINO,SUPERIOR COMPLETO,OUTROS,300000.0,1.0,Casa
DEPUTADO FEDERAL,40002532759,5500,JORGE OLIVEIRA,PSD,MASCULINO,SUPERIOR COMPLETO,CONTADOR,300000.0,2.0,Casa
DEPUTADO ESTADUAL,40002545606,13333,CLÓVIS CURUBÃO,PT,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,300000.0,1.0,Casa
DEPUTADO FEDERAL,40002531443,1522,NATHAN MACENA,MDB,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,300000.0,1.0,Casa
DEPUTADO FEDERAL,40002532758,5544,NATH NASCIMENTO,PSD,FEMININO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,296856.15,8.0,OUTROS BENS E DIREITOS
DEPUTADO ESTADUAL,40002546992,12456,DR. ERON DE SÁ,PDT,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,280000.0,2.0,Outros bens imóveis
DEPUTADO ESTADUAL,40002541752,44333,NEIBE ARAUJO,UNIÃO,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,265667.11,2.0,Terreno
DEPUTADO FEDERAL,40002532765,5580,DELEGADA DÉBORA MAFRA,PSD,FEMININO,SUPERIOR COMPLETO,POLICIAL CIVIL,263050.24,4.0,Caderneta de poupança
DEPUTADO FEDERAL,40002542672,4400,THAYSA LIPPY,UNIÃO,FEMININO,SUPERIOR COMPLETO,VEREADOR,262019.06,5.0,Depósito bancário em conta corrente no País
DEPUTADO ESTADUAL,40002537348,70444,ENFERMEIRA JUCINARA,AVANTE,FEMININO,SUPERIOR COMPLETO,ENFERMEIRO,260000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002536492,36063,MARY ALVES,AGIR,FEMININO,ENSINO MÉDIO COMPLETO,TÉCNICO DE ENFERMAGEM E ASSEMELHADOS (EXCETO ENFERMEIRO),250000.0,1.0,Casa
DEPUTADO ESTADUAL,40002536894,30232,MARLUCIA VIEIRA,NOVO,FEMININO,SUPERIOR COMPLETO,ADVOGADO,250000.0,1.0,Apartamento
DEPUTADO FEDERAL,40002551008,1813,ODIMAR GUIMARÃES,REDE,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,250000.0,1.0,Casa
DEPUTADO ESTADUAL,40002536910,30122,LENO MENEZES,NOVO,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,250000.0,2.0,Casa
DEPUTADO FEDERAL,40002536450,3077,ODER AURÉLIO,NOVO,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,247000.0,3.0,Apartamento
DEPUTADO ESTADUAL,40002541748,44500,MARCO CASTILHOS,UNIÃO,MASCULINO,SUPERIOR COMPLETO,VEREADOR,243633.25,7.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO FEDERAL,40002541584,2066,MAURO TEIXEIRA,PODE,MASCULINO,SUPERIOR COMPLETO,OUTROS,240000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002542961,22345,MARCELLO DEMASI,PL,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,237083.97,6.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002534390,10321,CATIANNE ALVES,REPUBLICANOS,FEMININO,SUPERIOR COMPLETO,VEREADOR,235000.0,2.0,Dinheiro em espécie - moeda nacional
DEPUTADO FEDERAL,40002549900,7706,MARQUINHOS MAIA,SOLIDARIEDADE,MASCULINO,ENSINO MÉDIO COMPLETO,ADMINISTRADOR,230100.0,2.0,Apartamento
DEPUTADO ESTADUAL,40002537616,70234,DR EDUARDO ASSIS,AVANTE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,230000.0,2.0,Casa
DEPUTADO ESTADUAL,40002536891,30230,LUCAS SÁ,NOVO,MASCULINO,SUPERIOR COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,220000.0,3.0,Casa
DEPUTADO ESTADUAL,40002536895,30000,NEDY VALE,NOVO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,AGRICULTOR,220000.0,2.0,Casa
DEPUTADO ESTADUAL,40002536892,30887,CHICO ARAÚJO,NOVO,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE DE CARGA,200000.0,2.0,Casa
DEPUTADO FEDERAL,40002536437,7010,DR RAIONE CABRAL,AVANTE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,200000.0,1.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002534372,10010,GUSTAVO  MORAIS,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,200000.0,1.0,Outras participações societárias
DEPUTADO ESTADUAL,40002542949,22822,MICHEL FELIPE,PL,MASCULINO,SUPERIOR COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",198237.03,2.0,Casa
VICE-GOVERNADOR,40002541740,44,SERAFIM,PSB,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,193671.12,3.0,Depósito bancário em conta corrente no País
GOVERNADOR,40002551740,33,CABO DACIOLO,MOBILIZA,MASCULINO,SUPERIOR COMPLETO,MILITAR REFORMADO,190750.0,15.0,OUTROS BENS E DIREITOS
DEPUTADO ESTADUAL,40002532739,15007,CABO JONAS NATARIO,MDB,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,181437.47,5.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002542971,22122,DÉBORA MENEZES,PL,FEMININO,SUPERIOR COMPLETO,DEPUTADO,171221.87,12.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002532746,15555,ADENILSON FILHO DO RIO MADEIRA,MDB,MASCULINO,SUPERIOR COMPLETO,PSICÓLOGO,171000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002536439,7007,CRIS PAIVA,AVANTE,FEMININO,SUPERIOR INCOMPLETO,EMPRESÁRIO,165000.0,2.0,Dinheiro em espécie - moeda nacional
DEPUTADO ESTADUAL,40002537625,70770,RODINEI RAMOS,AVANTE,MASCULINO,SUPERIOR INCOMPLETO,AGRICULTOR,160000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002534381,10324,DONIZETE DA VOZ,REPUBLICANOS,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,160000.0,2.0,Casa
DEPUTADO ESTADUAL,40002551320,18321,YURA MARUBO,REDE,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,160000.0,1.0,Casa
DEPUTADO ESTADUAL,40002541750,44234,ELDA GARCIA,UNIÃO,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,150000.0,1.0,Casa
1º SUPLENTE,40002537343,455,KELLY BARBOSA,PSDB,FEMININO,ENSINO FUNDAMENTAL COMPLETO,COMERCIANTE,150000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002551011,5067,PROFESSOR WELTON ODA,PSOL,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO SUPERIOR,145671.81,4.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002534393,10400,DR. BRITO,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,140000.0,4.0,Outras participações societárias
DEPUTADO FEDERAL,40002540479,2200,PAULA PORTELA,PL,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,139000.0,2.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002546994,12789,PROFESSOR ADEMIR,PDT,MASCULINO,SUPERIOR INCOMPLETO,EMPRESÁRIO,139000.0,4.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002542681,40013,PROFESSORA TATIANA,PSB,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO FUNDAMENTAL,124982.47,6.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002536480,36525,KENNY SOUZA,AGIR,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,120000.0,1.0,Apartamento
DEPUTADO ESTADUAL,40002536898,30999,RONILSON SOUZA,NOVO,MASCULINO,SUPERIOR COMPLETO,JORNALISTA E REDATOR,118000.0,3.0,Ações (inclusive as provenientes de linha telefônica)
2º SUPLENTE,40002535272,161,JOÃO REBOUÇAS,PSTU,MASCULINO,SUPERIOR COMPLETO,ARQUEÓLOGO,114977.2,3.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002536487,36888,GIDEANE BRASIL,AGIR,FEMININO,ENSINO MÉDIO COMPLETO,ELETRICISTA E ASSEMELHADOS,113201.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002549856,1213,DANIEL SOUZA,PDT,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,111000.0,4.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002532742,15002,PROF.. GINA GONZÁLEZ,MDB,FEMININO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,108000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO FEDERAL,40002545594,1314,ANNE MOURA,PT,FEMININO,SUPERIOR INCOMPLETO,OUTROS,106572.11,3.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002532740,15777,MATHEUS GARCIA,MDB,MASCULINO,SUPERIOR COMPLETO,EMPRESÁRIO,103609.2,4.0,Quotas ou quinhões de capital
VICE-GOVERNADOR,40002551739,33,PROFESSOR IGOR OLIVEIRA,MOBILIZA,MASCULINO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,102541.23,2.0,Caderneta de poupança
DEPUTADO ESTADUAL,40002537353,70123,DAVID REIS,AVANTE,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,100000.0,1.0,Casa
DEPUTADO ESTADUAL,40002537617,70180,ISABELLY AURORA,AVANTE,FEMININO,SUPERIOR INCOMPLETO,EMPRESÁRIO,100000.0,1.0,OUTROS BENS E DIREITOS
DEPUTADO ESTADUAL,40002535269,16016,TARCÍSIO LEÃO,PSTU,MASCULINO,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,100000.0,2.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002536489,36069,MAGRINHA ELEN,AGIR,FEMININO,LÊ E ESCREVE,MANICURE E MAQUILADOR,100000.0,1.0,Quotas ou quinhões de capital
DEPUTADO FEDERAL,40002536078,2757,GONZA,DC,MASCULINO,ENSINO MÉDIO COMPLETO,"TÉCNICO CONTABILIDADE, ESTATÍSTICA, ECONOMIA DOMÉSTICA E ADMINISTRAÇÃO",100000.0,1.0,Quotas ou quinhões de capital
DEPUTADO ESTADUAL,40002551313,50123,JOSÉ DO NORTE,PSOL,MASCULINO,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,94000.0,3.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
DEPUTADO ESTADUAL,40002536897,30030,RAFAEL BASTOS,NOVO,MASCULINO,SUPERIOR COMPLETO,CONTADOR,88000.0,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
2º SUPLENTE,40002542687,222,MÁRIO BASTOS,PL,MASCULINO,SUPERIOR COMPLETO,OUTROS,85577.57,5.0,Caderneta de poupança
DEPUTADO FEDERAL,40002541625,4044,JOAQUIM FELIPE,PSB,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,81757.67,2.0,"Aplicação de renda fixa (CDB, RDB e outros)"
DEPUTADO ESTADUAL,40002551305,50555,AILTON FERNANDES,PSOL,MASCULINO,SUPERIOR COMPLETO,OUTROS,80000.0,1.0,Casa
DEPUTADO FEDERAL,40002533208,1033,JOÃO CARLOS,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,VEREADOR,77809.09,1.0,"Veículo automotor terrestre: caminhão, automóvel, moto, etc."
