DS_CARGO,SQ_CANDIDATO,NR_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,DS_GENERO,DS_GRAU_INSTRUCAO,DS_OCUPACAO,patrimonio_total,qtd_bens,tipo_principal
DEPUTADO FEDERAL,40002535273,1600,ALEXANDRE SOLORZANO,PSTU,MASCULINO,SUPERIOR COMPLETO,SOCIÓLOGO,0.0,0.0,
DEPUTADO ESTADUAL,40002542665,11022,DALVA MORAIS,PP,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002542668,44044,ANDERSON SANTOS,UNIÃO,MASCULINO,SUPERIOR COMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002539051,1433,JOTA BRANDÃO,MISSÃO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,AGENCIADOR DE PROPAGANDA,0.0,0.0,
DEPUTADO ESTADUAL,40002551310,50420,JANAÍNA ANJOS,PSOL,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002551317,50100,JEAN PAZ,PSOL,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002554168,13777,MARIA GUIMARÃES,PT,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO FEDERAL,40002549858,1251,DR. ISRAEL TUYUKA,PDT,MASCULINO,SUPERIOR COMPLETO,MÉDICO,0.0,0.0,
DEPUTADO ESTADUAL,40002542967,22002,FABRICIO MAR,PL,MASCULINO,ENSINO MÉDIO INCOMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002536477,36014,MOISÉS DAS AÇÕES,AGIR,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
2º SUPLENTE,40002551282,181,ANDRÉ MONTEIRO,REDE,MASCULINO,ENSINO MÉDIO COMPLETO,AGRICULTOR,0.0,0.0,
DEPUTADO ESTADUAL,40002546987,12222,MARCOS PATRÍCIO,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,ATLETA PROFISSIONAL E TÉCNICO EM DESPORTOS,0.0,0.0,
DEPUTADO ESTADUAL,40002547002,12122,ANGELA SANTOS,PDT,FEMININO,SUPERIOR COMPLETO,FARMACÊUTICO,0.0,0.0,
DEPUTADO ESTADUAL,40002534371,10190,DR HENRIQUE VASCONCELOS,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,0.0,0.0,
DEPUTADO ESTADUAL,40002542970,22999,PAULO BARDALES,PL,MASCULINO,ENSINO MÉDIO COMPLETO,VEREADOR,0.0,0.0,
DEPUTADO FEDERAL,40002549904,7713,KEYLLA MARINHO,SOLIDARIEDADE,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO FEDERAL,40002536451,3067,RICHARD STONE,NOVO,MASCULINO,SUPERIOR COMPLETO,ADVOGADO,0.0,0.0,
DEPUTADO ESTADUAL,40002536473,36222,RIZANNIO TOYA,AGIR,MASCULINO,ENSINO MÉDIO COMPLETO,POLICIAL CIVIL,0.0,0.0,
DEPUTADO FEDERAL,40002542677,4456,WALZENIR FALCÃO,UNIÃO,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,PESCADOR,0.0,0.0,
DEPUTADO FEDERAL,40002539050,1444,WICK RYAN,MISSÃO,MASCULINO,ENSINO MÉDIO COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",0.0,0.0,
DEPUTADO FEDERAL,40002539044,1420,MATEUS DO TI,MISSÃO,MASCULINO,SUPERIOR INCOMPLETO,TÉCNICO EM INFORMÁTICA,0.0,0.0,
DEPUTADO FEDERAL,40002549861,1233,JORNADA,PDT,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002532773,55113,RENATO MURA,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,ADMINISTRADOR,0.0,0.0,
DEPUTADO ESTADUAL,40002534373,10023,DR. RAFAEL BENOLIEL,REPUBLICANOS,MASCULINO,SUPERIOR COMPLETO,MÉDICO,0.0,0.0,
DEPUTADO ESTADUAL,40002551319,18765,NALDO MURA,REDE,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA PARTICULAR,0.0,0.0,
DEPUTADO ESTADUAL,40002541592,20020,ENFERMEIRA LILI,PODE,FEMININO,SUPERIOR COMPLETO,ENFERMEIRO,0.0,0.0,
DEPUTADO ESTADUAL,40002552158,30000,MÔNICA ALVES DE SOUZA MOTA,NOVO,FEMININO,ENSINO MÉDIO COMPLETO,COMERCIANTE,0.0,0.0,
DEPUTADO FEDERAL,40002549903,7711,KAROLA PRO VIDA,SOLIDARIEDADE,FEMININO,SUPERIOR COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002543333,40111,VAL LIMA,PSB,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002532777,55644,JORGE SANTIAGO,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002542950,22022,ANDRÉA ABRANTES,PL,FEMININO,SUPERIOR INCOMPLETO,VENDEDOR DE COMÉRCIO VAREJISTA E ATACADISTA,0.0,0.0,
DEPUTADO ESTADUAL,40002541600,20787,DRA. ENF. KATIA VENTURA,PODE,FEMININO,SUPERIOR COMPLETO,ENFERMEIRO,0.0,0.0,
DEPUTADO ESTADUAL,40002541597,20714,ROSA DAS COMUNIDADES,PODE,FEMININO,SUPERIOR INCOMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002541595,20144,PROF. ANTONIA MCGREGOR,PODE,FEMININO,SUPERIOR COMPLETO,SERVIDOR PÚBLICO ESTADUAL,0.0,0.0,
DEPUTADO ESTADUAL,40002553973,22000,MICHELLA SANTOS,PL,FEMININO,SUPERIOR COMPLETO,CONTADOR,0.0,0.0,
DEPUTADO ESTADUAL,40002542952,22555,RAMON PEDROSA,PL,MASCULINO,ENSINO MÉDIO INCOMPLETO,APOSENTADO (EXCETO SERVIDOR PÚBLICO),0.0,0.0,
DEPUTADO ESTADUAL,40002551315,50444,SENHOR LUIZ AGRICULTOR,PSOL,MASCULINO,ENSINO FUNDAMENTAL COMPLETO,AGRICULTOR,0.0,0.0,
DEPUTADO ESTADUAL,40002536914,30133,EDMILSON LOPES,NOVO,MASCULINO,SUPERIOR COMPLETO,FARMACÊUTICO,0.0,0.0,
DEPUTADO ESTADUAL,40002551306,50310,GILMARA GUIMARÃES,PSOL,FEMININO,ENSINO MÉDIO COMPLETO,DONA DE CASA,0.0,0.0,
DEPUTADO ESTADUAL,40002554183,44133,DEDEIA MEDEIROS,UNIÃO,FEMININO,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,0.0,0.0,
DEPUTADO ESTADUAL,40002537624,70040,MEYB SEIXAS,AVANTE,FEMININO,SUPERIOR COMPLETO,ZOOTECNISTA,0.0,0.0,
DEPUTADO FEDERAL,40002541588,2040,HERMANO JUNIOR,PODE,MASCULINO,ENSINO MÉDIO COMPLETO,MOTORISTA DE VEÍCULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,0.0,0.0,
DEPUTADO ESTADUAL,40002546999,12070,MAZINHO DA ECOBARREIRA,PDT,MASCULINO,ENSINO MÉDIO INCOMPLETO,SERVIDOR PÚBLICO MUNICIPAL,0.0,0.0,
DEPUTADO ESTADUAL,40002537614,70300,FÁBIO FARIAS,AVANTE,MASCULINO,SUPERIOR COMPLETO,POLICIAL MILITAR,0.0,0.0,
DEPUTADO ESTADUAL,40002532783,55600,SIDNEY SOUZA,PSD,MASCULINO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002541612,20008,ROSI MATOS,PODE,FEMININO,ENSINO MÉDIO COMPLETO,OUTROS,0.0,0.0,
DEPUTADO ESTADUAL,40002545604,13619,JÉSSICA VALOIS,PT,FEMININO,SUPERIOR INCOMPLETO,"ESTUDANTE, BOLSISTA, ESTAGIÁRIO E ASSEMELHADOS",0.0,0.0,
